x,y,index
0,54,1
1,54,1
2,54,1
3,54,1
4,27,1
4,35,1
4,25,1
4,38,1
4,15,1
4,19,1
4,55,1
4,28,1
5,36,1
6,36,1
7,36,1
8,36,1
9,36,1
10,13,1
11,12,1
12,52,1
13,52,1
14,52,1
15,52,1
16,52,1
17,52,1
18,52,1
19,52,1
20,52,1
21,52,1
22,52,1
23,52,1
24,52,1
25,52,1
26,52,1
27,52,1
28,52,1
29,53,1
29,20,1
29,22,1
29,23,1
29,47,1
29,26,1
29,44,1
30,51,1
31,35,1
32,35,1
33,35,1
33,10,1
34,35,1
35,35,1
36,0,1
37,0,1
37,47,1
38,0,1
39,0,1
40,0,1
41,34,1
42,34,1
43,34,1
44,34,1
45,34,1
46,34,1
47,34,1
48,34,1
49,1,1
50,1,1
51,58,1
51,43,1
51,33,1
51,8,1
51,44,1
52,47,1
52,22,1
53,16,1
54,16,1
55,16,1
56,16,1
57,16,1
58,40,1
58,14,1
58,47,1
58,8,1
59,40,1
60,40,1
60,43,1
61,40,1
61,37,1
61,21,1
62,31,1
63,49,1
64,49,1
65,49,1
66,49,1
67,49,1
68,49,1
69,24,1
69,18,1
70,46,1
71,46,1
72,46,1
73,46,1
74,46,1
74,8,1
75,46,1
76,46,1
77,46,1
78,46,1
79,50,1
80,50,1
81,50,1
82,50,1
83,10,1
83,39,1
83,33,1
84,10,1
84,22,1
84,14,1
84,7,1
84,17,1
84,43,1
84,41,1
84,33,1
84,32,1
84,47,1
84,26,1
84,8,1
84,44,1
85,10,1
85,33,1
86,10,1
87,10,1
88,10,1
89,10,1
90,10,1
90,8,1
91,45,1
92,45,1
93,45,1
94,45,1
95,45,1
96,45,1
97,45,1
97,22,1
98,22,1
98,38,1
98,23,1
98,47,1
98,26,1
98,44,1
99,22,1
100,22,1
101,22,1
102,22,1
103,22,1
103,2,1
104,22,1
105,22,1
106,22,1
107,22,1
108,22,1
108,23,1
109,22,1
110,22,1
110,23,1
110,47,1
110,8,1
111,22,1
111,5,1
111,23,1
112,22,1
113,22,1
113,23,1
114,22,1
114,42,1
114,26,1
115,22,1
115,14,1
115,33,1
115,23,1
115,8,1
116,22,1
117,22,1
118,22,1
119,22,1
120,22,1
121,22,1
121,8,1
122,22,1
123,22,1
124,22,1
125,22,1
125,28,1
126,22,1
127,9,1
128,9,1
128,6,1
129,9,1
130,9,1
131,9,1
132,9,1
133,9,1
134,9,1
135,9,1
136,9,1
137,9,1
138,9,1
139,9,1
140,9,1
141,9,1
142,9,1
143,9,1
144,29,1
144,48,1
145,15,1
146,15,1
147,15,1
148,15,1
149,15,1
150,15,1
151,15,1
152,15,1
153,15,1
154,15,1
155,30,1
155,32,1
156,30,1
156,32,1
157,30,1
157,32,1
158,30,1
158,32,1
159,30,1
159,32,1
160,30,1
160,32,1
161,14,1
162,14,1
163,14,1
164,14,1
165,14,1
166,14,1
167,7,1
168,7,1
169,7,1
170,7,1
170,4,1
170,33,1
170,47,1
170,26,1
171,7,1
172,7,1
173,7,1
174,7,1
175,7,1
176,7,1
176,47,1
177,7,1
178,7,1
179,7,1
180,7,1
181,7,1
181,47,1
182,3,1
