x,y,index
84,502,1
92,166,1
302,166,1
6,166,1
374,300,1
170,445,1
302,445,1
6,445,1
125,445,1
189,445,1
178,445,1
45,93,1
229,93,1
79,499,1
399,499,1
52,357,1
297,357,1
411,433,1
35,433,1
302,433,1
6,433,1
380,409,1
290,409,1
387,409,1
74,409,1
142,409,1
231,409,1
350,409,1
35,409,1
92,327,1
406,327,1
240,327,1
77,327,1
253,435,1
96,435,1
459,435,1
380,435,1
290,435,1
398,435,1
137,496,1
297,496,1
402,496,1
363,496,1
348,447,1
45,330,1
68,330,1
297,330,1
355,330,1
169,330,1
346,330,1
60,379,1
142,423,1
380,423,1
290,423,1
231,423,1
350,423,1
387,423,1
74,423,1
35,423,1
297,544,1
92,98,1
371,98,1
466,98,1
231,245,1
371,205,1
438,205,1
297,205,1
408,434,1
162,434,1
333,434,1
251,434,1
427,439,1
275,439,1
92,439,1
77,439,1
380,439,1
290,439,1
286,135,1
189,10,1
178,10,1
170,10,1
302,10,1
6,10,1
125,10,1
120,282,1
297,282,1
231,282,1
384,282,1
395,282,1
263,282,1
355,282,1
297,390,1
383,390,1
52,223,1
68,223,1
402,223,1
363,368,1
45,368,1
302,368,1
6,368,1
380,368,1
290,368,1
52,368,1
425,521,1
395,521,1
387,407,1
74,407,1
380,407,1
290,407,1
231,407,1
350,407,1
142,407,1
35,407,1
302,454,1
6,454,1
350,441,1
52,441,1
466,441,1
169,441,1
296,442,1
56,442,1
297,442,1
68,442,1
125,442,1
374,344,1
423,344,1
121,344,1
45,344,1
139,344,1
294,344,1
371,344,1
286,33,1
395,33,1
302,33,1
6,33,1
64,33,1
122,33,1
33,33,1
121,33,1
317,33,1
316,33,1
383,33,1
169,545,1
346,545,1
68,545,1
297,545,1
355,545,1
45,545,1
419,225,1
399,225,1
77,225,1
257,225,1
374,225,1
223,225,1
402,149,1
64,149,1
296,149,1
318,149,1
466,376,1
60,376,1
286,376,1
92,376,1
84,219,1
375,219,1
84,503,1
398,377,1
139,377,1
294,377,1
371,377,1
296,231,1
318,231,1
64,231,1
402,231,1
363,443,1
45,443,1
302,443,1
6,443,1
52,443,1
380,443,1
290,443,1
115,372,1
371,64,1
121,64,1
297,64,1
406,64,1
4,64,1
297,311,1
402,311,1
363,311,1
137,311,1
121,55,1
432,55,1
302,55,1
6,55,1
240,55,1
350,355,1
84,355,1
121,355,1
297,355,1
4,355,1
363,355,1
383,366,1
383,453,1
259,453,1
115,453,1
388,453,1
113,453,1
64,40,1
296,40,1
402,40,1
318,40,1
92,177,1
84,177,1
387,177,1
74,177,1
371,177,1
92,464,1
77,464,1
297,464,1
399,464,1
137,464,1
419,353,1
215,353,1
428,353,1
96,364,1
125,215,1
346,215,1
34,215,1
253,56,1
380,56,1
290,56,1
398,56,1
96,56,1
459,56,1
79,452,1
35,452,1
302,452,1
6,452,1
411,452,1
84,512,1
458,512,1
223,512,1
218,512,1
350,413,1
387,413,1
74,413,1
142,413,1
380,413,1
290,413,1
35,413,1
231,413,1
131,554,1
317,554,1
316,554,1
85,554,1
68,554,1
318,554,1
302,103,1
6,103,1
348,103,1
92,103,1
210,103,1
355,103,1
427,103,1
34,431,1
125,431,1
346,431,1
398,290,1
371,290,1
302,290,1
6,290,1
139,539,1
294,539,1
371,539,1
398,539,1
231,509,1
34,164,1
243,164,1
352,164,1
348,164,1
297,164,1
210,164,1
68,164,1
231,164,1
350,164,1
92,164,1
383,209,1
29,209,1
92,209,1
215,209,1
428,209,1
297,493,1
402,493,1
137,493,1
363,493,1
406,538,1
263,538,1
64,538,1
315,538,1
346,217,1
34,217,1
125,217,1
139,328,1
294,328,1
371,328,1
350,328,1
35,328,1
92,328,1
34,328,1
120,328,1
317,328,1
316,328,1
297,328,1
139,501,1
294,501,1
303,501,1
306,501,1
96,501,1
35,501,1
77,501,1
68,501,1
215,501,1
428,501,1
299,501,1
125,440,1
170,440,1
302,440,1
6,440,1
189,440,1
178,440,1
371,101,1
297,101,1
380,101,1
290,101,1
68,101,1
355,101,1
142,101,1
139,114,1
294,114,1
346,114,1
92,335,1
77,335,1
427,335,1
380,335,1
290,335,1
275,335,1
395,191,1
302,191,1
6,191,1
64,191,1
365,191,1
4,191,1
92,191,1
257,191,1
243,191,1
352,191,1
29,191,1
317,191,1
316,191,1
466,191,1
121,191,1
286,191,1
383,191,1
297,315,1
68,315,1
387,315,1
74,315,1
99,315,1
348,315,1
142,408,1
380,408,1
290,408,1
231,408,1
35,408,1
350,408,1
387,408,1
74,408,1
466,73,1
169,73,1
350,73,1
52,73,1
403,451,1
68,451,1
142,411,1
231,411,1
350,411,1
387,411,1
74,411,1
380,411,1
290,411,1
35,411,1
92,341,1
459,341,1
64,341,1
115,341,1
371,341,1
438,341,1
427,336,1
275,336,1
380,336,1
290,336,1
92,336,1
77,336,1
68,110,1
419,110,1
355,110,1
297,110,1
286,110,1
302,110,1
6,110,1
374,110,1
218,110,1
243,110,1
352,110,1
383,110,1
458,110,1
259,110,1
380,337,1
290,337,1
92,337,1
275,337,1
77,337,1
427,337,1
438,207,1
297,207,1
371,207,1
257,427,1
286,427,1
383,427,1
395,427,1
302,427,1
6,427,1
92,427,1
4,427,1
466,427,1
243,427,1
352,427,1
121,427,1
317,427,1
316,427,1
29,427,1
64,427,1
365,427,1
170,460,1
122,460,1
419,460,1
257,422,1
96,422,1
121,422,1
466,422,1
383,422,1
139,422,1
294,422,1
318,233,1
402,233,1
64,233,1
296,233,1
297,395,1
137,395,1
402,395,1
363,395,1
231,185,1
84,185,1
419,185,1
68,185,1
297,185,1
137,497,1
402,497,1
363,497,1
297,497,1
380,410,1
290,410,1
231,410,1
350,410,1
387,410,1
74,410,1
142,410,1
35,410,1
142,412,1
380,412,1
290,412,1
387,412,1
74,412,1
35,412,1
231,412,1
350,412,1
427,338,1
77,338,1
275,338,1
380,338,1
290,338,1
68,157,1
355,157,1
33,157,1
169,157,1
92,286,1
34,286,1
120,286,1
297,286,1
317,286,1
316,286,1
139,286,1
294,286,1
371,286,1
350,286,1
35,286,1
302,371,1
6,371,1
45,371,1
52,371,1
380,371,1
290,371,1
363,371,1
374,455,1
223,455,1
189,455,1
178,455,1
68,455,1
263,455,1
92,455,1
408,84,1
162,84,1
372,84,1
297,84,1
33,84,1
79,526,1
302,526,1
6,526,1
303,526,1
306,526,1
35,526,1
84,526,1
348,213,1
302,213,1
6,213,1
92,213,1
355,213,1
210,213,1
427,213,1
90,375,1
318,383,1
215,383,1
428,383,1
296,383,1
77,383,1
407,383,1
169,430,1
68,430,1
355,430,1
33,430,1
121,350,1
139,350,1
294,350,1
363,350,1
371,350,1
374,350,1
423,350,1
45,350,1
371,421,1
96,421,1
302,421,1
6,421,1
296,432,1
77,432,1
318,432,1
407,432,1
215,432,1
428,432,1
407,450,1
215,450,1
428,450,1
296,450,1
318,450,1
77,450,1
374,417,1
90,540,1
90,378,1
64,196,1
355,196,1
292,196,1
429,196,1
125,196,1
69,268,1
121,268,1
383,268,1
399,268,1
355,268,1
408,268,1
162,268,1
92,268,1
458,268,1
466,472,1
321,472,1
267,472,1
399,472,1
383,229,1
96,481,1
257,481,1
92,481,1
90,91,1
131,542,1
299,542,1
