x,y,index
8,26,1
8,10,1
8,20,1
8,51,1
8,21,1
8,32,1
8,33,1
8,40,1
8,42,1
8,44,1
8,60,1
8,7,1
6,34,1
6,35,1
6,37,1
6,39,1
34,35,1
34,37,1
34,39,1
34,43,1
12,15,1
12,19,1
12,1,1
12,24,1
12,25,1
12,28,1
12,13,1
12,36,1
12,38,1
12,41,1
24,25,1
24,28,1
24,38,1
26,11,1
26,53,1
26,47,1
26,20,1
26,21,1
26,23,1
26,29,1
26,30,1
26,32,1
26,40,1
26,44,1
10,20,1
10,33,1
20,51,1
20,21,1
20,29,1
20,30,1
20,32,1
20,33,1
20,40,1
20,42,1
20,44,1
20,60,1
20,7,1
20,14,1
51,42,1
51,7,1
51,14,1
21,32,1
21,40,1
21,44,1
32,33,1
32,40,1
32,44,1
32,60,1
33,60,1
33,46,1
40,44,1
40,60,1
42,7,1
42,14,1
7,14,1
9,26,1
9,11,1
9,53,1
9,22,1
9,23,1
9,52,1
9,29,1
9,48,1
11,53,1
11,51,1
11,29,1
11,35,1
11,42,1
11,7,1
11,14,1
48,58,1
47,47,1
47,20,1
47,21,1
47,27,1
47,32,1
47,40,1
47,44,1
30,31,1
30,32,1
13,36,1
13,54,1
13,38,1
50,17,1
50,18,1
50,19,1
50,41,1
18,19,1
31,32,1
52,29,1
52,48,1
52,43,1
52,58,1
53,22,1
53,23,1
53,52,1
53,29,1
35,7,1
1,24,1
1,28,1
1,13,1
1,38,1
1,41,1
25,28,1
25,38,1
45,46,1
22,23,1
22,29,1
38,41,1
29,48,1
29,43,1
29,58,1
15,1,1
15,24,1
15,25,1
15,28,1
15,36,1
15,38,1
37,54,1
17,18,1
17,19,1
17,49,1
19,1,1
19,28,1
19,38,1
57,12,1
57,15,1
57,1,1
57,24,1
57,28,1
57,36,1
57,38,1
57,41,1
59,49,1
28,13,1
28,36,1
28,38,1
28,41,1
23,52,1
23,29,1
0,8,1
0,60,1
8,0,1
60,0,1
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
26,8,1
10,8,1
20,8,1
51,8,1
21,8,1
32,8,1
33,8,1
40,8,1
42,8,1
44,8,1
60,8,1
7,8,1
34,6,1
35,6,1
37,6,1
39,6,1
35,34,1
37,34,1
39,34,1
43,34,1
15,12,1
19,12,1
1,12,1
24,12,1
25,12,1
28,12,1
13,12,1
36,12,1
38,12,1
41,12,1
25,24,1
28,24,1
38,24,1
11,26,1
53,26,1
47,26,1
20,26,1
21,26,1
23,26,1
29,26,1
30,26,1
32,26,1
40,26,1
44,26,1
20,10,1
33,10,1
51,20,1
21,20,1
29,20,1
30,20,1
32,20,1
33,20,1
40,20,1
42,20,1
44,20,1
60,20,1
7,20,1
14,20,1
42,51,1
7,51,1
14,51,1
32,21,1
40,21,1
44,21,1
33,32,1
40,32,1
44,32,1
60,32,1
60,33,1
46,33,1
44,40,1
60,40,1
7,42,1
14,42,1
14,7,1
26,9,1
11,9,1
53,9,1
22,9,1
23,9,1
52,9,1
29,9,1
48,9,1
53,11,1
51,11,1
29,11,1
35,11,1
42,11,1
7,11,1
14,11,1
58,48,1
47,47,1
20,47,1
21,47,1
27,47,1
32,47,1
40,47,1
44,47,1
31,30,1
32,30,1
36,13,1
54,13,1
38,13,1
17,50,1
18,50,1
19,50,1
41,50,1
19,18,1
32,31,1
29,52,1
48,52,1
43,52,1
58,52,1
22,53,1
23,53,1
52,53,1
29,53,1
7,35,1
24,1,1
28,1,1
13,1,1
38,1,1
41,1,1
28,25,1
38,25,1
46,45,1
23,22,1
29,22,1
41,38,1
48,29,1
43,29,1
58,29,1
1,15,1
24,15,1
25,15,1
28,15,1
36,15,1
38,15,1
54,37,1
18,17,1
19,17,1
49,17,1
1,19,1
28,19,1
38,19,1
12,57,1
15,57,1
1,57,1
24,57,1
28,57,1
36,57,1
38,57,1
41,57,1
49,59,1
13,28,1
36,28,1
38,28,1
41,28,1
52,23,1
29,23,1
