x,y,index
26,15,1
8,15,1
40,14,1
33,14,1
47,14,1
8,14,1
42,137,1
48,384,1
55,374,1
40,266,1
22,266,1
14,266,1
7,266,1
48,266,1
58,266,1
3,158,1
33,158,1
22,158,1
48,158,1
26,39,1
42,567,1
26,510,1
8,494,1
26,204,1
40,203,1
26,202,1
3,253,1
33,253,1
33,251,1
40,301,1
26,301,1
33,52,1
26,36,1
26,3,1
8,3,1
33,3,1
26,2,1
33,2,1
26,1,1
47,1,1
40,178,1
22,178,1
44,178,1
8,178,1
42,201,1
33,201,1
42,296,1
40,296,1
33,296,1
47,296,1
8,296,1
26,7,1
14,7,1
48,7,1
58,7,1
22,74,1
55,74,1
48,74,1
58,74,1
58,534,1
14,195,1
58,195,1
55,488,1
42,479,1
48,477,1
58,477,1
42,475,1
55,470,1
23,66,1
26,246,1
33,246,1
40,160,1
55,160,1
8,160,1
42,199,1
25,199,1
55,199,1
48,199,1
3,94,1
35,555,1
35,541,1
35,531,1
35,530,1
35,529,1
35,528,1
35,527,1
35,525,1
35,524,1
35,523,1
35,522,1
35,520,1
35,518,1
35,517,1
35,516,1
35,515,1
35,514,1
35,513,1
35,511,1
35,227,1
35,506,1
22,197,1
55,197,1
35,197,1
42,0,1
47,0,1
48,0,1
58,0,1
8,0,1
53,0,1
35,0,1
26,144,1
3,256,1
40,256,1
33,256,1
22,256,1
47,363,1
48,361,1
22,428,1
8,483,1
8,486,1
8,373,1
8,68,1
22,68,1
48,68,1
58,68,1
42,552,1
40,552,1
44,552,1
40,551,1
55,467,1
42,465,1
55,461,1
3,293,1
55,291,1
48,305,1
3,95,1
35,505,1
35,504,1
35,490,1
35,489,1
35,487,1
42,485,1
35,485,1
35,468,1
22,459,1
55,459,1
35,459,1
35,457,1
35,437,1
55,416,1
35,416,1
8,381,1
35,381,1
3,240,1
40,240,1
8,240,1
40,238,1
33,238,1
26,238,1
26,243,1
47,243,1
35,105,1
26,105,1
48,105,1
40,118,1
26,118,1
47,150,1
10,139,1
48,139,1
44,139,1
40,139,1
35,139,1
23,139,1
55,351,1
48,351,1
33,349,1
26,346,1
33,283,1
47,283,1
48,283,1
58,283,1
7,533,1
7,449,1
55,448,1
7,448,1
23,288,1
35,288,1
42,288,1
47,288,1
42,152,1
33,53,1
22,550,1
26,550,1
42,549,1
55,549,1
26,63,1
42,63,1
47,63,1
7,63,1
55,63,1
48,62,1
42,62,1
26,47,1
22,47,1
55,436,1
42,35,1
40,35,1
44,35,1
33,35,1
40,32,1
26,32,1
7,31,1
42,30,1
40,30,1
48,30,1
21,30,1
3,29,1
26,28,1
26,181,1
42,116,1
40,116,1
55,116,1
26,116,1
48,115,1
40,224,1
33,224,1
21,224,1
10,224,1
26,224,1
42,200,1
26,200,1
55,200,1
7,200,1
47,71,1
33,235,1
33,26,1
8,26,1
40,24,1
40,23,1
55,414,1
47,70,1
26,70,1
7,70,1
40,69,1
47,69,1
8,69,1
48,69,1
58,69,1
26,69,1
35,51,1
33,51,1
22,51,1
8,51,1
58,51,1
26,51,1
48,61,1
47,61,1
42,61,1
10,61,1
33,59,1
22,59,1
26,58,1
22,58,1
35,342,1
48,342,1
22,339,1
26,334,1
8,333,1
35,333,1
48,333,1
53,333,1
42,333,1
47,281,1
44,281,1
58,281,1
26,277,1
3,276,1
33,276,1
26,276,1
42,218,1
8,218,1
42,106,1
40,106,1
14,106,1
8,106,1
7,106,1
44,106,1
40,156,1
26,156,1
42,155,1
8,155,1
26,155,1
22,154,1
48,154,1
23,154,1
8,154,1
42,154,1
8,564,1
33,564,1
10,562,1
42,562,1
37,562,1
8,562,1
26,547,1
48,547,1
33,547,1
37,174,1
33,172,1
26,171,1
8,171,1
22,129,1
22,120,1
8,120,1
42,120,1
3,558,1
8,558,1
26,553,1
48,553,1
47,548,1
7,312,1
3,298,1
55,298,1
33,298,1
8,298,1
7,298,1
22,257,1
55,257,1
47,257,1
58,257,1
23,257,1
15,257,1
42,365,1
3,365,1
40,365,1
35,365,1
33,365,1
47,356,1
33,356,1
33,354,1
55,352,1
48,352,1
58,352,1
8,352,1
33,352,1
35,340,1
33,340,1
33,324,1
47,192,1
8,192,1
8,186,1
55,186,1
58,258,1
10,258,1
7,258,1
44,258,1
23,258,1
15,258,1
55,258,1
3,134,1
28,134,1
22,134,1
55,134,1
47,134,1
58,134,1
22,132,1
40,399,1
55,399,1
26,396,1
48,396,1
42,394,1
47,171,1
7,25,1
55,25,1
33,25,1
22,25,1
35,321,1
55,321,1
48,321,1
26,319,1
7,318,1
40,318,1
55,318,1
42,316,1
55,316,1
26,127,1
42,264,1
40,264,1
25,264,1
22,264,1
7,264,1
48,264,1
58,264,1
47,264,1
35,264,1
26,182,1
55,131,1
40,426,1
48,426,1
58,426,1
3,271,1
33,271,1
22,271,1
44,271,1
47,271,1
26,271,1
3,270,1
22,270,1
44,270,1
47,270,1
42,332,1
40,332,1
33,332,1
47,332,1
26,323,1
8,314,1
33,314,1
55,314,1
48,314,1
26,313,1
48,309,1
42,307,1
26,80,1
22,80,1
47,80,1
26,78,1
26,75,1
35,167,1
10,167,1
22,167,1
7,167,1
26,44,1
7,42,1
42,42,1
47,536,1
55,420,1
26,148,1
26,147,1
8,146,1
42,142,1
40,142,1
8,331,1
35,478,1
26,478,1
42,241,1
40,241,1
33,241,1
25,241,1
44,241,1
55,241,1
14,241,1
3,184,1
3,34,1
42,5,1
26,5,1
47,5,1
14,5,1
48,5,1
58,5,1
10,5,1
3,5,1
3,360,1
3,287,1
33,206,1
26,206,1
55,206,1
48,206,1
58,206,1
42,206,1
3,206,1
40,566,1
35,566,1
42,566,1
33,566,1
26,566,1
7,566,1
40,22,1
10,22,1
7,22,1
33,220,1
8,220,1
7,220,1
58,220,1
40,220,1
26,220,1
26,49,1
33,557,1
47,557,1
42,295,1
3,295,1
22,295,1
55,295,1
8,295,1
33,295,1
53,295,1
48,295,1
47,295,1
42,292,1
55,292,1
47,292,1
42,262,1
33,262,1
47,262,1
26,210,1
42,210,1
47,210,1
33,560,1
55,560,1
47,560,1
47,424,1
47,405,1
35,190,1
33,190,1
8,190,1
25,190,1
48,190,1
7,190,1
47,190,1
23,43,1
42,43,1
40,43,1
22,43,1
47,43,1
44,193,1
44,102,1
42,102,1
26,102,1
53,102,1
8,102,1
47,102,1
55,275,1
47,275,1
23,275,1
7,275,1
58,275,1
3,275,1
8,275,1
