x,y,index
0,23,1
1,48,1
1,29,1
10,14,1
10,22,1
10,16,1
100,22,1
100,16,1
100,25,1
1000,17,1
1001,17,1
1002,43,1
1003,42,1
1004,42,1
1005,42,1
1006,47,1
1007,47,1
1007,8,1
1007,23,1
1008,16,1
1008,5,1
1008,17,1
1008,6,1
1009,6,1
101,29,1
1010,57,1
1011,48,1
1011,29,1
1012,48,1
1012,29,1
1013,6,1
1014,17,1
1015,6,1
1016,0,1
1017,22,1
1017,16,1
1018,23,1
1019,16,1
102,22,1
102,43,1
102,48,1
102,29,1
1020,16,1
1021,47,1
1021,8,1
1022,48,1
1022,29,1
1023,39,1
1024,15,1
1024,38,1
1025,57,1
1026,16,1
1027,16,1
1028,15,1
1028,57,1
1029,29,1
103,42,1
1030,29,1
1031,17,1
1032,29,1
1033,38,1
1034,16,1
1035,6,1
1036,16,1
1037,38,1
1038,6,1
1039,28,1
104,22,1
1040,22,1
1041,16,1
1042,17,1
1043,15,1
1043,22,1
1043,6,1
1044,17,1
1045,22,1
1046,17,1
1047,25,1
1048,41,1
1049,42,1
105,16,1
1050,17,1
1051,23,1
1052,6,1
1053,6,1
1054,17,1
1054,16,1
1054,6,1
1055,38,1
1055,6,1
1056,22,1
1056,16,1
1056,38,1
1056,25,1
1056,17,1
1056,6,1
1057,6,1
1058,22,1
1058,38,1
1059,16,1
106,17,1
1060,22,1
1060,53,1
1060,48,1
1060,29,1
1061,6,1
1062,16,1
1063,25,1
1064,16,1
1065,48,1
1065,29,1
1065,25,1
1066,16,1
1067,16,1
1068,38,1
1069,17,1
1069,6,1
107,25,1
1070,17,1
1071,16,1
1071,45,1
1071,38,1
1071,29,1
1071,57,1
1072,6,1
1073,6,1
1074,16,1
1075,16,1
1076,17,1
1077,36,1
1077,6,1
1078,36,1
1079,6,1
108,43,1
1080,14,1
1081,14,1
1081,6,1
1082,42,1
1083,23,1
1084,36,1
1084,23,1
1085,23,1
1086,17,1
1087,27,1
1087,25,1
1088,29,1
1089,6,1
109,29,1
1090,17,1
1091,22,1
1091,23,1
1092,22,1
1093,48,1
1093,29,1
1094,48,1
1094,29,1
1095,22,1
1096,15,1
1097,48,1
1097,29,1
1098,47,1
1098,8,1
1098,29,1
1099,22,1
11,43,1
110,3,1
1100,29,1
1100,17,1
1100,57,1
1101,25,1
1102,16,1
1103,16,1
1104,43,1
1105,16,1
1106,22,1
1107,16,1
1108,17,1
1109,25,1
111,14,1
1110,6,1
1111,3,1
1112,17,1
1113,15,1
1113,16,1
1113,1,1
1113,17,1
1114,5,1
1114,53,1
1115,17,1
1116,38,1
1117,38,1
1118,36,1
1119,38,1
112,22,1
112,53,1
112,48,1
112,29,1
112,23,1
1120,48,1
1120,29,1
1121,16,1
1122,25,1
1123,17,1
1124,17,1
1125,17,1
1126,25,1
1126,17,1
1127,6,1
1128,25,1
1129,48,1
1129,29,1
113,16,1
1130,6,1
1131,16,1
1132,16,1
1132,19,1
1133,16,1
1134,16,1
1135,23,1
1136,6,1
1137,43,1
1138,41,1
1139,3,1
114,16,1
114,29,1
114,6,1
1140,16,1
1140,6,1
1141,16,1
1142,48,1
1142,29,1
1143,25,1
1144,29,1
1145,35,1
1146,6,1
1147,22,1
1148,29,1
1149,29,1
115,16,1
1150,17,1
