circRNA(474),index
hsa_circ_0005540,0
hsa_circ_0032891,1
hsa_circ_0054211,2
hsa_circ_0038374,3
hsa_circ_0000615,4
hsa_circ_0067209,5
hsa_circ_0002078,6
hsa_circ_0050898,7
hsa_circ_0002569,8
hsa_circ_0023903,9
hsa_circ_0021001,10
hsa_circ_0013509,11
hsa_circ_0072359,12
hsa_circ_0057336,13
hsa_circ_0023117,14
hsa_circ_0066077,15
hsa_circ_0023114,16
hsa_circ_0023110,17
hsa_circ_0043534,18
hsa_circ_0041731,19
hsa_circ_0078710,20
hsa_circ_0005931,21
hsa_circ_0045510,22
hsa_circ_0017515,23
hsa_circ_0079549,24
hsa_circ_0062163,25
hsa_circ_0067745,26
hsa_circ_0040081,27
hsa_circ_0015756,28
hsa_circ_0001649,29
hsa_circ_0002577,30
hsa_circ_0003922,31
hsa_circ_0008433,32
hsa_circ_0001819,33
hsa_circ_0000219,34
hsa_circ_0000175,35
hsa_circ_0018168,36
hsa_circ_0086376,37
hsa_circ_0005941,38
hsa_circ_0001073,39
hsa_circ_0084927,40
hsa_circ_0040705,41
hsa_circ_0021549,42
hsa_circ_0046599,43
hsa_circ_0008615,44
hsa_circ_0001866,45
hsa_circ_0034398,46
hsa_circ_0003146,47
hsa_circ_0092374,48
hsa_circ_0002161,49
hsa_circ_0037911,50
hsa_circ_0001821,51
hsa_circ_0000118,52
hsa_circ_0089310,53
hsa_circ_0056048,54
hsa_circ_0001907,55
hsa_circ_0001410,56
hsa_circ_0005620,57
hsa_circ_0001313,58
hsa_circ_0006988,59
hsa_circ_0043138,60
hsa_circ_0000518,61
hsa_circ_0052372,62
hsa_circ_0007788,63
hsa_circ_0006801,64
hsa_circ_0003391,65
hsa_circ_0028882,66
hsa_circ_0006766,67
hsa_circ_0001275,68
hsa_circ_0068087,69
hsa_circ_0002908,70
hsa_circ_0063179,71
hsa_circ_0000414,72
hsa_circ_0002362,73
hsa_circ_0002113,74
hsa_circ_0008797,75
hsa_circ_0000681,76
hsa_circ_0005538,77
hsa_circ_0000074,78
hsa_circ_0082569,79
hsa_circ_0033299,80
hsa_circ_0020159,81
hsa_circ_0038383,82
hsa_circ_0023404,83
hsa_circ_0000284,84
hsa_circ_0043256,85
hsa_circ_0016760,86
hsa_circ_0014130,87
hsa_circ_0007385,88
hsa_circ_0079530,89
hsa_circ_0006404,90
hsa_circ_0030569,91
hsa_circ_0001417,92
hsa_circ_0030045,93
hsa_circ_0043497,94
hsa_circ_0001204,95
hsa_circ_0000700,96
hsa_circ_0028899,97
hsa_circ_0001946,98
hsa_circ_0001566,99
hsa_circ_0000199,100
hsa_circ_0002968,101
hsa_circ_0003586,102
hsa_circ_0006411,103
hsa_circ_0004872,104
hsa_circ_0008345,105
hsa_circ_0005603,106
hsa_circ_0006460,107
hsa_circ_0046701,108
hsa_circ_0012129,109
hsa_circ_0007534,110
hsa_circ_0004383,111
hsa_circ_0000831,112
hsa_circ_0000594,113
hsa_circ_0001445,114
hsa_circ_0004214,115
hsa_circ_0000177,116
hsa_circ_0001070,117
hsa_circ_0067735,118
hsa_circ_0001512,119
hsa_circ_0000915,120
hsa_circ_0000638,121
hsa_circ_0024997,122
hsa_circ_0032876,123
hsa_circ_0001206,124
hsa_circ_0000437,125
hsa_circ_0080121,126
hsa_circ_0075829,127
hsa_circ_0064996,128
hsa_circ_0075828,129
hsa_circ_0075825,130
hsa_circ_0046449,131
hsa_circ_0072387,132
hsa_circ_0015449,133
hsa_circ_0005085,134
hsa_circ_0022392,135
hsa_circ_0022383,136
hsa_circ_0005912,137
hsa_circ_0086419,138
