miRNA(632),index
hsa-let-7a,0
hsa-let-7a-1,1
hsa-let-7a-2,2
hsa-let-7a-3,3
hsa-let-7a-5p,4
hsa-let-7b,5
hsa-let-7b-5p,6
hsa-let-7c,7
hsa-let-7c-5p,8
hsa-let-7d,9
hsa-let-7d-5p,10
hsa-let-7e,11
hsa-let-7e-5p,12
hsa-let-7f,13
hsa-let-7f-1,14
hsa-let-7f-2,15
hsa-let-7f-5p,16
hsa-let-7g,17
hsa-let-7g-5p,18
hsa-let-7i,19
hsa-let-7i-5p,20
hsa-mir-1,21
hsa-mir-100,22
hsa-mir-100-1,23
hsa-mir-100-2,24
hsa-mir-101,25
hsa-mir-101-1,26
hsa-mir-101-3p,27
hsa-mir-101b-2,28
hsa-mir-102,29
hsa-mir-103,30
hsa-mir-103-1,31
hsa-mir-103-2,32
hsa-mir-103a-3p,33
hsa-mir-106,34
hsa-mir-106a,35
hsa-mir-106a-1,36
hsa-mir-106a-5p,37
hsa-mir-106b,38
hsa-mir-106b-1,39
hsa-mir-106b-5p,40
hsa-mir-107,41
hsa-mir-10a,42
hsa-mir-10b,43
hsa-mir-1-2,44
hsa-mir-122-5p,45
hsa-mir-122a,46
hsa-mir-123,47
hsa-mir-1236-3p,48
hsa-mir-124,49
hsa-mir-124-3p,50
hsa-mir-124a,51
hsa-mir-124a-1,52
hsa-mir-124a-3,53
hsa-mir-125a,54
hsa-mir-125a-3p,55
hsa-mir-125a-5p,56
hsa-mir-125b,57
hsa-mir-125b-1,58
hsa-mir-125b-2,59
hsa-mir-125b-5p,60
hsa-mir-126,61
hsa-mir-126*,62
hsa-mir-127,63
hsa-mir-1271-5p,64
hsa-mir-1275,65
hsa-mir-128,66
hsa-mir-128-3p,67
hsa-mir-128a,68
hsa-mir-128b,69
hsa-mir-129,70
hsa-mir-129-2,71
hsa-mir-129-5p,72
hsa-mir-1297,73
hsa-mir-130a,74
hsa-mir-130a-1,75
hsa-mir-130a-3p,76
hsa-mir-130b,77
hsa-mir-130b-1,78
hsa-mir-130b-3p,79
hsa-mir-132,80
hsa-mir-132-3p,81
hsa-mir-133a,82
hsa-mir-133a-3p,83
hsa-mir-133b,84
hsa-mir-134,85
hsa-mir-134-5p,86
hsa-mir-135a-5p,87
hsa-mir-135b,88
hsa-mir-135b-5p,89
hsa-mir-136,90
hsa-mir-136-3p,91
hsa-mir-136-5p,92
hsa-mir-137,93
hsa-mir-138-1,94
hsa-mir-138-2,95
hsa-mir-138-5p,96
hsa-mir-139,97
hsa-mir-139-5p,98
hsa-mir-1-3p,99
hsa-mir-140,100
hsa-mir-140-5p,101
hsa-mir-141,102
hsa-mir-141-3p,103
hsa-mir-142-3p,104
hsa-mir-142-5p,105
hsa-mir-143,106
hsa-mir-143-3p,107
hsa-mir-144-3p,108
hsa-mir-145,109
hsa-mir-145-5p,110
hsa-mir-146a,111
hsa-mir-146a-5p,112
hsa-mir-146b,113
hsa-mir-146b-5p,114
hsa-mir-147,115
hsa-mir-148a,116
hsa-mir-148a-3p,117
hsa-mir-148b,118
hsa-mir-148b-3p,119
hsa-mir-149,120
hsa-mir-149-3p,121
hsa-mir-149-5p,122
hsa-mir-150,123
hsa-mir-150-5p,124
hsa-mir-151,125
hsa-mir-151*,126
hsa-mir-152,127
hsa-mir-152-3p,128
hsa-mir-153,129
hsa-mir-153-3p,130
hsa-mir-154,131
hsa-mir-154*,132
hsa-mir-154-5p,133
hsa-mir-155,134
hsa-mir-155-5p,135
hsa-mir-15a,136
hsa-mir-15a-2,137
hsa-mir-15a-5p,138
hsa-mir-15b,139
hsa-mir-15b-5p,140
hsa-mir-16,141
hsa-mir-16-1,142
hsa-mir-16-5p,143
hsa-mir-16a,144
hsa-mir-17,145
hsa-mir-170,146
hsa-mir-172a-2,147
hsa-mir-17-3p,148
hsa-mir-17-5p,149
hsa-mir-17-92,150
hsa-mir-181a,151
hsa-mir-181a-1,152
hsa-mir-181a-5p,153
hsa-mir-181b,154
hsa-mir-181b-1,155
hsa-mir-181b-2,156
hsa-mir-181b-5p,157
hsa-mir-181c,158
hsa-mir-181c-5p,159
hsa-mir-181d,160
hsa-mir-181d-5p,161
hsa-mir-182,162
hsa-mir-182*,163
hsa-mir-182-5p,164
hsa-mir-183,165
hsa-mir-184,166
hsa-mir-185,167
hsa-mir-185-5p,168
hsa-mir-186,169
hsa-mir-186-5p,170
hsa-mir-18a,171
hsa-mir-18a*,172
hsa-mir-18a-5p,173
hsa-mir-18b,174
hsa-mir-18b-5p,175
hsa-mir-190a-5p,176
hsa-mir-190b,177
hsa-mir-191,178
hsa-mir-191-5p,179
hsa-mir-192,180
hsa-mir-192-1,181
hsa-mir-192-2,182
hsa-mir-192-5p,183
hsa-mir-193,184
hsa-mir-193a-3p,185
hsa-mir-193b,186
hsa-mir-193b-3p,187
hsa-mir-194,188
hsa-mir-194-5p,189
hsa-mir-195,190
hsa-mir-195-5p,191
hsa-mir-196a,192
hsa-mir--196a-2,193
hsa-mir-196a-5p,194
hsa-mir-196b,195
hsa-mir-196b-5p,196
hsa-mir-197,197
hsa-mir-197-3p,198
hsa-mir-199a,199
hsa-mir-199a*,200
hsa-mir-199a-1,201
hsa-mir-199a-1-5p,202
hsa-mir-199a-2,203
hsa-mir-199a-2-5p,204
hsa-mir-199a-5p,205
hsa-mir-199b,206
hsa-mir-199b-5p,207
hsa-mir-19a,208
hsa-mir-19a-3p,209
hsa-mir-19b,210
hsa-mir-19b-3p,211
hsa-mir-200a,212
hsa-mir-200a-3p,213
hsa-mir-200b,214
hsa-mir-200b-3p,215
hsa-mir-200c,216
