mRNA(1365),index
spp1,0
pde4b,1
spry4,2
runx3,3
cxcl12,4
gja1,5
irf7,6
erbb2,7
bmi1,8
egfr,9
mtor,10
akt1,11
pik3cg,12
tgfbr2,13
malat1,14
qki,15
cacna1c,16
tgfa,17
notch3,18
abcb1,19
cdk3,20
brd4,21
fbxw7,22
mdm2,23
tlr7,24
ppargc1a,25
apoa5,26
bdnf,27
kras,28
abca1,29
thbs1,30
myc,31
wnt5a,32
suz12,33
cd44,34
ccnd1,35
runx2,36
bcl2,37
apc,38
fosl2,39
zeb1,40
zeb2,41
dab2ip,42
itga6,43
nr3c2,44
pten,45
tp63,46
bcl2l11,47
gap43,48
creb1,49
notch1,50
casp3,51
sox4,52
faslg,53
mthfr,54
il6,55
fgfr1,56
dnmt3b,57
ets1,58
snai1,59
cdk6,60
stat3,61
vegfa,62
reck,63
cybb,64
slc2a1,65
mlh1,66
hotair,67
hsp90aa1,68
acvr1,69
mmp8,70
ccl2,71
hspa5,72
mat1a,73
atp7a,74
sox9,75
nos3,76
sirt1,77
ptk2,78
becn1,79
kdr,80
prkca,81
hoxa9,82
abcg2,83
lpp,84
hspa1b,85
hmga1,86
rock2,87
ccnd2,88
tlr2,89
runx1,90
ptprt,91
rb1,92
bax,93
fgfr3,94
prkcb,95
ros1,96
actb,97
srebf1,98
pim1,99
hif1a,100
ncoa3,101
met,102
mbd2,103
cdk2,104
tac1,105
foxo3,106
fasn,107
eif2s1,108
jak1,109
snai2,110
rarb,111
idh1,112
bcl9,113
ddit4,114
il11,115
socs3,116
icam1,117
kcnh1,118
fgf2,119
irs1,120
itgb1,121
mmp14,122
mmp9,123
mmp2,124
akt2,125
cyp2c9,126
hnf4a,127
ddx6,128
tnf,129
braf,130
jag1,131
ctnnb1,132
nf1,133
tp53,134
mbnl1,135
pdgfrb,136
serpine1,137
erg,138
cat,139
casp8,140
ago2,141
pik3r1,142
rps6ka3,143
notch2,144
egr1,145
nlrp3,146
stat1,147
cxcl2,148
ccl3,149
prdm1,150
atm,151
parp1,152
artn,153
hras,154
gdf5,155
raf1,156
rasa1,157
sfrp1,158
ptprj,159
sparc,160
mx1,161
map2k1,162
txnip,163
ddit3,164
pde3a,165
m6pr,166
tgfb1,167
elovl6,168
hgf,169
tlr4,170
cox2,171
ezh2,172
gata4,173
atg2b,174
timp2,175
akt3,176
jun,177
foxm1,178
birc5,179
ptgs2,180
smad4,181
tfpi,182
cxcr4,183
cnr1,184
syncrip,185
esrra,186
chek1,187
pomc,188
il10,189
cdkn1b,190
dnmt3a,191
rac1,192
cdh1,193
kif5b,194
raph1,195
tcf4,196
cav1,197
asap1,198
il24,199
mmp10,200
ednra,201
ppm1d,202
ldha,203
dyrk2,204
il4,205
pappa,206
gsr,207
nras,208
atf4,209
xbp1,210
mapk8,211
dhfr,212
tnfsf10,213
hand2,214
atp2a2,215
kit,216
hmox1,217
smo,218
pou2f2,219
sh3gl1,220
ret,221
pdgfra,222
hmgb1,223
foxp2,224
jak2,225
cbl,226
itgb3,227
esr1,228
atp1b1,229
ercc4,230
hrh1,231
slc9a1,232
trim29,233
ephb2,234
atr,235
ar,236
ntrk3,237
plk1,238
acly,239
mecom,240
ntrk2,241
bmp6,242
csf1r,243
irf5,244
erbb3,245
maoa,246
htr2c,247
tfrc,248
sod2,249
pea15,250
tnfaip3,251
smc1a,252
nr1i2,253
pias3,254
bcl3,255
stat5b,256
ccr6,257
flt3,258
igf2,259
mmp3,260
cxcl8,261
stk11,262
itgb8,263
nlk,264
klf6,265
fmr1,266
arid1a,267
angptl4,268
ercc1,269
myb,270
casp7,271
lrp6,272
kdm2a,273
gata3,274
tbx21,275
gsk3b,276
s100b,277
pck1,278
edn1,279
ucp1,280
ccdc6,281
cyld,282
irf1,283
ldlr,284
nr3c1,285
setd2,286
foxo1,287
eln,288
rasgrp1,289
ahr,290
cyp2c19,291
rnasel,292
lox,293
vdac1,294
pxdn,295
adamts9,296
pdk4,297
nod2,298
bcl2l1,299
ptpn1,300
trib1,301
ncam1,302
il2,303
bmp4,304
il18,305
gdnf,306
trib3,307
alk,308
rad51,309
htr1b,310
thbs2,311
ppp2r5c,312
rfx7,313
gapdh,314
rgs5,315
smad5,316
hnf1b,317
lpar1,318
mt2a,319
fas,320
ptpn11,321
fancg,322
il6r,323
atat1,324
marcks,325
slc6a4,326
ifng,327
s100a8,328
pcna,329
coro1a,330
eif2s3,331
pold1,332
cdkn2a,333
pink1,334
cx3cl1,335
mff,336
cyp3a4,337
igf2bp2,338
rbpj,339
pdlim5,340
anxa2,341
gstp1,342
kcnq1,343
slc1a2,344
stmn1,345
spred2,346
bap1,347
emsy,348
creg1,349
prkce,350
fzd3,351
jazf1,352
klf13,353
yy1,354
foxp3,355
cebpd,356
htr1a,357
lgals3,358
reln,359
cdc25b,360
adora2a,361
il12b,362
wnt3a,363
brca1,364
rap2a,365
hes1,366
nox4,367
mirlet7d,368
drd2,369
cd34,370
id2,371
apln,372
ptx3,373
hoxd10,374
hnf1a,375
nfkb1,376
lcn2,377
tert,378
nos1,379
fancm,380
cd40lg,381
brca2,382
fn1,383
nd1,384
th,385
pik3ca,386
tkt,387
mef2a,388
cebpa,389
mgmt,390
rest,391
clock,392
nfkbiz,393
elk3,394
alox5,395
sphk1,396
dusp6,397
scnn1a,398
enpep,399
ikzf3,400
lipa,401
epo,402
fgfr2,403
prdx2,404
cdkn2b,405
cxcl10,406
mn1,407
clcn3,408
samhd1,409
prkn,410
inpp4b,411
ptpn22,412
prkcd,413
ptpn2,414
igfbp3,415
xpa,416
mre11,417
nr4a2,418
etv6,419
rnu6-456p,420
rn7skp114,421
rnu6-491p,422
rnu6-148p,423
ptcsc3,424
lct-as1,425
theg5,426
tsnax-disc1,427
klln,428
znf667-as1,429
meis1-as3,430
dirc3,431
linc00977,432
ncf1,433
acot1,434
cisd2,435
miat,436
oacylp,437
c2cd4b,438
slc22a10,439
fibin,440
sumo4,441
agrn,442
mia3,443
gen1,444
septin14,445
dubr,446
gcom2,447
rgmb,448
kansl1,449
ksr2,450
hectd4,451
rassf3,452
daoa,453
pcsk9,454
sema3d,455
phactr1,456
kif6,457
stox1,458
cmya5,459
ankrd23,460
stkld1,461
slc30a8,462
frem3,463
clec12a,464
deup1,465
kcnu1,466
plb1,467
sik1,468
c2cd4a,469
prima1,470
lacc1,471
dcanp1,472
nrsn1,473
taf1l,474
ccdc26,475
klf14,476
tmem155,477
tmem18,478
pld4,479
tph2,480
tagap,481
acsm1,482
nus1,483
tirap,484
ucn3,485
znf257,486
pik3ip1,487
wdr20,488
col23a1,489
macir,490
ucn2,491
ccnb3,492
adtrp,493
b3gnt9,494
afap1-as1,495
mgarp,496
slx4,497
hhipl1,498
usp48,499
arid5b,500
kat8,501
dtnbp1,502
brip1,503
fam234a,504
cdca7,505
kcnk16,506
st6galnac5,507
fip1l1,508
txndc5,509
vopp1,510
mob2,511
clptm1l,512
slc2a10,513
cmip,514
pdgfd,515
alpk1,516
ccdc92,517
ctc1,518
baalc,519
sugct,520
palb2,521
ankrd55,522
galnt12,523
mcph1,524
hmgn5,525
mmel1,526
brcc3,527
fto,528
tmem135,529
mrps6,530
usp46,531
p2ry12,532
nsd1,533
abcg8,534
abcg5,535
ms4a6a,536
sema4a,537
dio3os,538
lhpp,539
npas3,540
thada,541
pknox2,542
cela2a,543
zfand3,544
prok2,545
rint1,546
elac2,547
trmt11,548
slc5a7,549
bach2,550
plekha1,551
kmt2c,552
hamp,553
gpam,554
rnf213,555
fbrsl1,556
jcad,557
begain,558
arid1b,559
slc17a6,560
knl1,561
hymai,562
tbx20,563
ackr3,564
ndufa4l2,565
retn,566
akip1,567
kyat3,568
baiap2l1,569
kmt2e,570
glt8d1,571
mctp2,572
wdr12,573
enah,574
itln1,575
cdc42bpg,576
smpd3,577
etnk1,578
lrrc59,579
styk1,580
rnls,581
asxl2,582
fanci,583
sbno1,584
pbrm1,585
fancl,586
slc6a15,587
epn3,588
cdkal1,589
pxk,590
rnf43,591
uhrf1bp1,592
bcor,593
cc2d1a,594
gin1,595
haus6,596
xaf1,597
fxyd6,598
s1pr5,599
tm6sf2,600
rtel1,601
cd244,602
ghrl,603
srrt,604
trim33,605
gde1,606
cyrib,607
il23a,608
zc3hc1,609
gskip,610
chmp5,611
polk,612
zbtb7a,613
tnfrsf12a,614
gmip,615
sbds,616
gal,617
ndufa13,618
mymy1,619
pde11a,620
ntm,621
caly,622
il20,623
ehd3,624
cd209,625
ube2t,626
pclo,627
coq2,628
disc1,629
morc1,630
b3gat1,631
utp25,632
nox1,633
mlh3,634
foxd3,635
chic2,636
nupr1,637
hspb8,638
tes,639
epc2,640
appl1,641
auts2,642
cntnap2,643
sipa1l1,644
kank2,645
pot1,646
abi3bp,647
bace2,648
bambi,649
lmod1,650
prkd3,651
ly96,652
cblc,653
padi4,654
ddah2,655
prame,656
arhgap45,657
hey1,658
sf3b1,659
psd3,660
jade2,661
ttc28,662
acsl6,663
ehbp1,664
anks1a,665
plcb1,666
phldb1,667
larp4b,668
cic,669
plxnd1,670
arhgap26,671
erc1,672
myt1l,673
fan1,674
cnksr2,675
mras,676
vsig4,677
chek2,678
adamts7,679
fam107a,680
psip1,681
wdr45,682
capn10,683
wwp2,684
pim2,685
dstn,686
ifi44l,687
ehmt2,688
hpse,689
ppp1r13l,690
aldh1l1,691
septin9,692
stag2,693
corin,694
b3gnt2,695
ctcf,696
gas2l1,697
mab21l2,698
procr,699
deaf1,700
fbln5,701
sema3c,702
hoxb13,703
mad2l2,704
tomm40,705
ifi30,706
ndrg1,707
hmg20a,708
trdn,709
tfg,710
maea,711
akap8,712
abcc4,713
ap3s2,714
dcaf7,715
msln,716
topors,717
tshz1,718
rnf41,719
trim28,720
rad50,721
abcc5,722
sh2b3,723
hdac5,724
nr1h4,725
nr1i3,726
med12,727
golga5,728
dennd4b,729
tbc1d4,730
psmd6,731
rapgef5,732
edem1,733
ikbke,734
isg15,735
sec24c,736
ncor1,737
apobec3b,738
gabbr2,739
vps26a,740
gdf15,741
mapk8ip1,742
homer1,743
gsto1,744
recql4,745
adipoq,746
kl,747
lhx2,748
trip11,749
cd83,750
s1pr2,751
adgrg1,752
zw10,753
htr3b,754
exo1,755
syngr1,756
smc3,757
gprc5a,758
pstpip1,759
kalrn,760
fubp1,761
sqstm1,762
dleu2,763
prom1,764
cflar,765
ggh,766
galr2,767
trim24,768
tnfrsf11a,769
tnfrsf14,770
tnfsf14,771
abcc3,772
s1pr4,773
ptch2,774
asmtl,775
plpp3,776
slc25a12,777
kmo,778
bhlhe40,779
bcas1,780
dgkd,781
dgkz,782
ppfibp2,783
galr3,784
rad54l,785
cavin2,786
ltbp4,787
mad1l1,788
h3c2,789
brap,790
axin1,791
picalm,792
lztr1,793
nrip1,794
taf15,795
ptp4a2,796
ncoa4,797
mllt10,798
nup214,799
nr4a3,800
