                 Name                  Number
acne                                  d0
essential hypertension                d1
lung adenocarcinoma                   d2
papillary thyroid carcinoma           d3
esophageal squamous cell carcinoma    d4
hypoxia                               d5
rheumatoid arthritis                  d6
bladder cancer                        d7
breast cancer                         d8
basal cell carcinoma                  d9
non-small cell lung cancer            d10
clear cell renal cell carcinoma       d11
cardiovascular disease                d12
intracranial aneurysms                d13
cervical cancer                       d14
coronary artery disease               d15
major depressive disorder             d16
diabetes mellitus                     d17
type 2 diabetes mellitus              d18
diabetic retinopathy                  d19
digestive system neoplasm             d20
esophageal cancer                     d21
glioblastoma                          d22
glioma                                d23
heart disease                         d24
heart failure                         d25
hepatocellular carcinoma              d26
hirschsprung disease                  d27
hypertension                          d28
leukemia                              d29
liver fibrosis                        d30
primary biliary cholangitis           d31
liver cancer                          d32
lung cancer                           d33
systemic lupus erythematosus          d34
lupus nephritis                       d35
moyamoya disease                      d36
multiple sclerosis                    d37
myocardial infarction                 d38
osteoarthritis                        d39
pancreatic cancer                     d40
pre-eclampsia                         d41
prostate cancer                       d42
osteosarcoma                          d43
gastric cancer                        d44
tuberculosis                          d45
pulmonary tuberculosis                d46
colorectal cancer                     d47
acute myeloid leukemia                d48
postmenopausal osteoporosis           d49
gestational diabetes mellitus         d50
endometrial cancer                    d51
hepatoblastoma                        d52
cholangiocarcinoma                    d53
multiple system atrophy               d54
duchenne muscular dystrophy           d55
leukoaraiosis                         d56
atherosclerosis                       d57
acute lymphoblastic leukemia          d58
intervertebral disc degeneration      d59
triple negative breast cancer         d60
hsa_circ_0005540                      c0
hsa_circ_0032891                      c1
hsa_circ_0054211                      c2
hsa_circ_0038374                      c3
hsa_circ_0000615                      c4
hsa_circ_0067209                      c5
hsa_circ_0002078                      c6
hsa_circ_0050898                      c7
hsa_circ_0002569                      c8
hsa_circ_0023903                      c9
hsa_circ_0021001                      c10
hsa_circ_0013509                      c11
hsa_circ_0072359                      c12
hsa_circ_0057336                      c13
hsa_circ_0023117                      c14
hsa_circ_0066077                      c15
hsa_circ_0023114                      c16
hsa_circ_0023110                      c17
hsa_circ_0043534                      c18
hsa_circ_0041731                      c19
hsa_circ_0078710                      c20
hsa_circ_0005931                      c21
hsa_circ_0045510                      c22
hsa_circ_0017515                      c23
hsa_circ_0079549                      c24
hsa_circ_0062163                      c25
hsa_circ_0067745                      c26
hsa_circ_0040081                      c27
hsa_circ_0015756                      c28
hsa_circ_0001649                      c29
hsa_circ_0002577                      c30
hsa_circ_0003922                      c31
hsa_circ_0008433                      c32
hsa_circ_0001819                      c33
hsa_circ_0000219                      c34
hsa_circ_0000175                      c35
hsa_circ_0018168                      c36
hsa_circ_0086376                      c37
hsa_circ_0005941                      c38
hsa_circ_0001073                      c39
hsa_circ_0084927                      c40
hsa_circ_0040705                      c41
hsa_circ_0021549                      c42
hsa_circ_0046599                      c43
hsa_circ_0008615                      c44
hsa_circ_0001866                      c45
hsa_circ_0034398                      c46
hsa_circ_0003146                      c47
hsa_circ_0092374                      c48
hsa_circ_0002161                      c49
hsa_circ_0037911                      c50
hsa_circ_0001821                      c51
hsa_circ_0000118                      c52
hsa_circ_0089310                      c53
hsa_circ_0056048                      c54
hsa_circ_0001907                      c55
hsa_circ_0001410                      c56
hsa_circ_0005620                      c57
hsa_circ_0001313                      c58
hsa_circ_0006988                      c59
hsa_circ_0043138                      c60
hsa_circ_0000518                      c61
hsa_circ_0052372                      c62
hsa_circ_0007788                      c63
hsa_circ_0006801                      c64
hsa_circ_0003391                      c65
hsa_circ_0028882                      c66
hsa_circ_0006766                      c67
hsa_circ_0001275                      c68
hsa_circ_0068087                      c69
hsa_circ_0002908                      c70
hsa_circ_0063179                      c71
hsa_circ_0000414                      c72
hsa_circ_0002362                      c73
hsa_circ_0002113                      c74
hsa_circ_0008797                      c75
hsa_circ_0000681                      c76
hsa_circ_0005538                      c77
hsa_circ_0000074                      c78
hsa_circ_0082569                      c79
hsa_circ_0033299                      c80
hsa_circ_0020159                      c81
hsa_circ_0038383                      c82
hsa_circ_0023404                      c83
hsa_circ_0000284                      c84
hsa_circ_0043256                      c85
hsa_circ_0016760                      c86
hsa_circ_0014130                      c87
hsa_circ_0007385                      c88
hsa_circ_0079530                      c89
hsa_circ_0006404                      c90
hsa_circ_0030569                      c91
hsa_circ_0001417                      c92
hsa_circ_0030045                      c93
hsa_circ_0043497                      c94
hsa_circ_0001204                      c95
hsa_circ_0000700                      c96
hsa_circ_0028899                      c97
hsa_circ_0001946                      c98
hsa_circ_0001566                      c99
hsa_circ_0000199                      c100
hsa_circ_0002968                      c101
hsa_circ_0003586                      c102
hsa_circ_0006411                      c103
hsa_circ_0004872                      c104
hsa_circ_0008345                      c105
hsa_circ_0005603                      c106
hsa_circ_0006460                      c107
hsa_circ_0046701                      c108
hsa_circ_0012129                      c109
hsa_circ_0007534                      c110
hsa_circ_0004383                      c111
hsa_circ_0000831                      c112
hsa_circ_0000594                      c113
hsa_circ_0001445                      c114
hsa_circ_0004214                      c115
hsa_circ_0000177                      c116
hsa_circ_0001070                      c117
hsa_circ_0067735                      c118
hsa_circ_0001512                      c119
hsa_circ_0000915                      c120
hsa_circ_0000638                      c121
hsa_circ_0024997                      c122
hsa_circ_0032876                      c123
hsa_circ_0001206                      c124
hsa_circ_0000437                      c125
hsa_circ_0080121                      c126
hsa_circ_0075829                      c127
hsa_circ_0064996                      c128
hsa_circ_0075828                      c129
hsa_circ_0075825                      c130
hsa_circ_0046449                      c131
hsa_circ_0072387                      c132
hsa_circ_0015449                      c133
hsa_circ_0005085                      c134
hsa_circ_0022392                      c135
hsa_circ_0022383                      c136
hsa_circ_0005912                      c137
hsa_circ_0086419                      c138
hsa_circ_0080189                      c139
hsa_circ_0004777                      c140
hsa_circ_0005795                      c141
hsa_circ_0001370                      c142
hsa_circ_0008732                      c143
hsa_circ_0004277                      c144
hsa_circ_0082081                      c145
hsa_circ_0006323                      c146
hsa_circ_0032970                      c147
hsa_circ_0051172                      c148
hsa_circ_0054537                      c149
hsa_circ_0057576                      c150
hsa_circ_0068942                      c151
hsa_circ_0082824                      c152
hsa_circ_0083357                      c153
hsa_circ_0089378                      c154
hsa_circ_0013255                      c155
hsa_circ_0061893                      c156
hsa_circ_0070963                      c157
hsa_circ_0054345                      c158
hsa_circ_0072765                      c159
hsa_circ_0071410                      c160
hsa_circ_0087432                      c161
hsa_circ_0089231                      c162
hsa_circ_0091822                      c163
hsa_circ_0034912                      c164
